,htmllinks,pdflinks,journaltitle,authorinfo,title
PMC7550314,https://europepmc.org/articles/PMC7550314,https://europepmc.org/articles/PMC7550314?pdf=render,Science and engineering ethics,Farisco M,Towards Establishing Criteria for the Ethical Analysis of Artificial Intelligence.
PMC7522739,https://europepmc.org/articles/PMC7522739,https://europepmc.org/articles/PMC7522739?pdf=render,The Science of the total environment,,Artificial intelligence in the water domain: Opportunities for responsible use.
PMC7867819,,,Journal of thoracic disease,Thoenes M,Narrative review of the role of artificial intelligence to improve aortic valve disease management.
PMC7702141,https://europepmc.org/articles/PMC7702141,https://europepmc.org/articles/PMC7702141?pdf=render,Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology,Drukker L,Introduction to artificial intelligence in ultrasound imaging in obstetrics and gynecology.
PMC7341466,https://europepmc.org/articles/PMC7341466,https://europepmc.org/articles/PMC7341466?pdf=render,Emergency radiology,Moulik SK,Applications of artificial intelligence in the emergency department.
PMC7788118,https://europepmc.org/articles/PMC7788118,https://europepmc.org/articles/PMC7788118?pdf=render,EJNMMI research,Pfaehler E,Repeatability of two semi-automatic artificial intelligence approaches for tumor segmentation in PET.
PMC7504252,https://europepmc.org/articles/PMC7504252,https://europepmc.org/articles/PMC7504252?pdf=render,World journal of gastroenterology,Lui TKL,Is artificial intelligence the final answer to missed polyps in colonoscopy?
PMC7394756,,,Journal of oral biology and craniofacial research,Tandon D,Present and future of artificial intelligence in dentistry.
PMC7584056,https://europepmc.org/articles/PMC7584056,https://europepmc.org/articles/PMC7584056?pdf=render,World journal of gastroenterology,Huang LM,Artificial intelligence technique in detection of early esophageal cancer.
PMC7888348,https://europepmc.org/articles/PMC7888348,https://europepmc.org/articles/PMC7888348?pdf=render,Future medicinal chemistry,Bung N,<i>De novo</i> design of new chemical entities for SARS-CoV-2 using artificial intelligence.
PMC7795119,https://europepmc.org/articles/PMC7795119,https://europepmc.org/articles/PMC7795119?pdf=render,International journal of environmental research and public health,Lee D,Application of Artificial Intelligence-Based Technologies in the Healthcare Industry: Opportunities and Challenges.
PMC7812848,,,Methodist DeBakey cardiovascular journal,Seetharam K,Artificial Intelligence and Machine Learning in Cardiovascular Imaging.
PMC7597311,https://europepmc.org/articles/PMC7597311,https://europepmc.org/articles/PMC7597311?pdf=render,"Entropy (Basel, Switzerland)",Goh RY,Hybrid Harmony Search-Artificial Intelligence Models in Credit Scoring.
PMC7754595,https://europepmc.org/articles/PMC7754595,https://europepmc.org/articles/PMC7754595?pdf=render,BMC medicine,Xue P,Development and validation of an artificial intelligence system for grading colposcopic impressions and guiding biopsies.
PMC7769066,https://europepmc.org/articles/PMC7769066,https://europepmc.org/articles/PMC7769066?pdf=render,Radiology,,Artificial Intelligence of COVID-19 Imaging: A Hammer in Search of a Nail.
PMC7783404,https://europepmc.org/articles/PMC7783404,https://europepmc.org/articles/PMC7783404?pdf=render,Frontiers in neurorobotics,Deng L,Artificial Intelligence-Based Application to Explore Inhibitors of Neurodegenerative Diseases.
PMC7795926,https://europepmc.org/articles/PMC7795926,https://europepmc.org/articles/PMC7795926?pdf=render,"Sensors (Basel, Switzerland)",Flores TKS,Indirect Feedback Measurement of Flow in a Water Pumping Network Employing Artificial Intelligence.
PMC7798382,https://europepmc.org/articles/PMC7798382,https://europepmc.org/articles/PMC7798382?pdf=render,SN computer science,Zwakman DS,Usability Evaluation of Artificial Intelligence-Based Voice Assistants: The Case of Amazon Alexa.
PMC7766857,https://europepmc.org/articles/PMC7766857,https://europepmc.org/articles/PMC7766857?pdf=render,"Sensors (Basel, Switzerland)",Minea M,Developing a Solution for Mobility and Distribution Analysis Based on Bluetooth and Artificial Intelligence.
PMC7771783,https://europepmc.org/articles/PMC7771783,https://europepmc.org/articles/PMC7771783?pdf=render,Journal of the American College of Emergency Physicians open,Carlile M,Deployment of artificial intelligence for radiographic diagnosis of COVID-19 pneumonia in the emergency department.
PMC7786371,https://europepmc.org/articles/PMC7786371,https://europepmc.org/articles/PMC7786371?pdf=render,Frontiers in cardiovascular medicine,Seetharam K,The Role of Artificial Intelligence in Cardiovascular Imaging: State of the Art Review.
PMC7647434,https://europepmc.org/articles/PMC7647434,https://europepmc.org/articles/PMC7647434?pdf=render,Journal of the Chinese Medical Association : JCMA,Hwang DK,Optical coherence tomography-based diabetic macula edema screening with artificial intelligence.
PMC7518439,https://europepmc.org/articles/PMC7518439,https://europepmc.org/articles/PMC7518439?pdf=render,NPJ digital medicine,Meskó B,A short guide for medical professionals in the era of artificial intelligence.
PMC7783473,https://europepmc.org/articles/PMC7783473,https://europepmc.org/articles/PMC7783473?pdf=render,EXCLI journal,Joy Mathew C,Artificial Intelligence and its future potential in lung cancer screening.
PMC7744141,https://europepmc.org/articles/PMC7744141,,Journal of medical Internet research,Abd-Alrazaq A,Artificial Intelligence in the Fight Against COVID-19: Scoping Review.
PMC7864479,,,NEJM catalyst innovations in care delivery,Hussain A,Opportunities for Artificial Intelligence–Enabled Social Media Analysis of Public Attitudes Toward Covid-19 Vaccines
PMC7747384,https://europepmc.org/articles/PMC7747384,https://europepmc.org/articles/PMC7747384?pdf=render,Journal of cheminformatics,Tetko IV,From Big Data to Artificial Intelligence: chemoinformatics meets new challenges.
PMC7779763,https://europepmc.org/articles/PMC7779763,https://europepmc.org/articles/PMC7779763?pdf=render,Frontiers in oncology,Nishida N,Artificial Intelligence in Medical Imaging and Its Application in Sonography for the Management of Liver Tumor.
PMC7500917,https://europepmc.org/articles/PMC7500917,https://europepmc.org/articles/PMC7500917?pdf=render,The Lancet. Digital health,Zhou Y,Artificial intelligence in COVID-19 drug repurposing.
PMC7889018,,,JACC. Case reports,Cheema B,Artificial Intelligence–Enabled POCUS in the COVID-19 ICU : A New Spin on Cardiac Ultrasound
PMC7726044,https://europepmc.org/articles/PMC7726044,https://europepmc.org/articles/PMC7726044?pdf=render,Insights into imaging,Kelly B,"Radiology artificial intelligence, a systematic evaluation of methods (RAISE): a systematic review protocol."
PMC7762640,https://europepmc.org/articles/PMC7762640,https://europepmc.org/articles/PMC7762640?pdf=render,BioMed research international,Muscogiuri G,Artificial Intelligence in Coronary Computed Tomography Angiography: From Anatomy to Prognosis.
PMC7875521,,,Ophthalmology,Campbell JP,Reporting Guidelines for Artificial Intelligence in Medical Research.
PMC7746175,https://europepmc.org/articles/PMC7746175,https://europepmc.org/articles/PMC7746175?pdf=render,PloS one,Fidalgo-Herrera AJ,Artificial intelligence prediction of the effect of rehabilitation in whiplash associated disorder.
PMC7738208,https://europepmc.org/articles/PMC7738208,https://europepmc.org/articles/PMC7738208?pdf=render,Journal of biomolecular structure & dynamics,Kaushal K,Emerging role of artificial intelligence in therapeutics for COVID-19: a systematic review.
PMC7873524,https://europepmc.org/articles/PMC7873524,https://europepmc.org/articles/PMC7873524?pdf=render,Frontiers in medicine,Cossio M,Would the Use of Artificial Intelligence in COVID-19 Patient Management Add Value to the Healthcare System?
PMC7448175,https://europepmc.org/articles/PMC7448175,,Journal of medical Internet research,Iqbal U,How Can Artificial Intelligence Make Medicine More Preemptive?
PMC7725219,https://europepmc.org/articles/PMC7725219,https://europepmc.org/articles/PMC7725219?pdf=render,Journal of translational medicine,Subramanian M,Precision medicine in the era of artificial intelligence: implications in chronic disease management.
PMC7729607,https://europepmc.org/articles/PMC7729607,https://europepmc.org/articles/PMC7729607?pdf=render,"Sensors (Basel, Switzerland)",Lytras MD,Moving Towards Intelligent Transportation via Artificial Intelligence and Internet-of-Things.
PMC7235856,https://europepmc.org/articles/PMC7235856,https://europepmc.org/articles/PMC7235856?pdf=render,"Diagnostics (Basel, Switzerland)",Brady AP,Artificial Intelligence in Radiology-Ethical Considerations.
PMC7485162,https://europepmc.org/articles/PMC7485162,https://europepmc.org/articles/PMC7485162?pdf=render,Clinical Medicine Insights. Cardiology,Mathur P,"Artificial Intelligence, Machine Learning, and Cardiovascular Disease."
PMC7482590,https://europepmc.org/articles/PMC7482590,https://europepmc.org/articles/PMC7482590?pdf=render,Archives of gerontology and geriatrics,,Gerontechnology and artificial intelligence: Better care for older people.
PMC7745984,https://europepmc.org/articles/PMC7745984,https://europepmc.org/articles/PMC7745984?pdf=render,PloS one,Straw I,Artificial Intelligence in mental health and the biases of language based models.
PMC7762533,https://europepmc.org/articles/PMC7762533,https://europepmc.org/articles/PMC7762533?pdf=render,"Sensors (Basel, Switzerland)",Liu Z,Intelligent Tensioning Method for Prestressed Cables Based on Digital Twins and Artificial Intelligence.
PMC7585503,https://europepmc.org/articles/PMC7585503,https://europepmc.org/articles/PMC7585503?pdf=render,International journal of general medicine,Shuaib A,The Increasing Role of Artificial Intelligence in Health Care: Will Robots Replace Doctors in the Future?
PMC7520602,https://europepmc.org/articles/PMC7520602,https://europepmc.org/articles/PMC7520602?pdf=render,World journal of gastroenterology,Niu PH,Artificial intelligence in gastric cancer: Application and future perspectives.
PMC7660958,https://europepmc.org/articles/PMC7660958,https://europepmc.org/articles/PMC7660958?pdf=render,JAMIA open,Park Y,Evaluating artificial intelligence in medicine: phases of clinical research.
PMC7754556,https://europepmc.org/articles/PMC7754556,https://europepmc.org/articles/PMC7754556?pdf=render,World journal of gastroenterology,Antonelli G,Artificial intelligence-aided colonoscopy: Recent developments and future perspectives.
PMC7787999,https://europepmc.org/articles/PMC7787999,https://europepmc.org/articles/PMC7787999?pdf=render,Healthcare technology letters,K S,Explainable artificial intelligence for heart rate variability in ECG signal.
PMC7494883,https://europepmc.org/articles/PMC7494883,https://europepmc.org/articles/PMC7494883?pdf=render,Journal of epilepsy research,An S,Artificial Intelligence and Computational Approaches for Epilepsy.
PMC7686480,https://europepmc.org/articles/PMC7686480,https://europepmc.org/articles/PMC7686480?pdf=render,Scientific reports,Cho Y,Artificial intelligence algorithm for detecting myocardial infarction using six-lead electrocardiography.
PMC7325854,,,Artificial Intelligence in Healthcare,Bohr A,The rise of artificial intelligence in healthcare applications.
PMC7325932,https://europepmc.org/articles/PMC7325932,https://europepmc.org/articles/PMC7325932?pdf=render,Frontiers in psychology,,People Copy the Actions of Artificial Intelligence.
PMC7714601,https://europepmc.org/articles/PMC7714601,https://europepmc.org/articles/PMC7714601?pdf=render,Contrast media & molecular imaging,Yang CW,Current and Potential Applications of Artificial Intelligence in Gastrointestinal Stromal Tumor Imaging.
PMC7760590,https://europepmc.org/articles/PMC7760590,https://europepmc.org/articles/PMC7760590?pdf=render,Cancers,Hamamoto R,Application of Artificial Intelligence Technology in Oncology: Towards the Establishment of Precision Medicine.
PMC7688114,https://europepmc.org/articles/PMC7688114,https://europepmc.org/articles/PMC7688114?pdf=render,PloS one,Yoon J,Artificial intelligence to predict the BRAFV600E mutation in patients with thyroid cancer.
PMC7846613,https://europepmc.org/articles/PMC7846613,https://europepmc.org/articles/PMC7846613?pdf=render,Scientific reports,El-Sappagh S,A multilayer multimodal detection and prediction model based on explainable artificial intelligence for Alzheimer's disease.
PMC7762915,https://europepmc.org/articles/PMC7762915,https://europepmc.org/articles/PMC7762915?pdf=render,Health and human rights,,A Health Rights Impact Assessment Guide for Artificial Intelligence Projects.
PMC7436102,https://europepmc.org/articles/PMC7436102,https://europepmc.org/articles/PMC7436102?pdf=render,"Sensors (Basel, Switzerland)",Lu Y,goFOOD<sup>TM</sup>: An Artificial Intelligence System for Dietary Assessment.
PMC7441013,https://europepmc.org/articles/PMC7441013,https://europepmc.org/articles/PMC7441013?pdf=render,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,Ramkumar PN,Clinical and Research Medical Applications of Artificial Intelligence.
PMC7698866,https://europepmc.org/articles/PMC7698866,https://europepmc.org/articles/PMC7698866?pdf=render,"Nanomaterials (Basel, Switzerland)",Díaz Lantada A,Artificial Intelligence Aided Design of Microtextured Surfaces: Application to Controlling Wettability.
PMC7710987,https://europepmc.org/articles/PMC7710987,https://europepmc.org/articles/PMC7710987?pdf=render,Frontiers in psychology,Yang B,Measuring and Improving User Experience Through Artificial Intelligence-Aided Design.
PMC7605294,https://europepmc.org/articles/PMC7605294,https://europepmc.org/articles/PMC7605294?pdf=render,Tzu chi medical journal,,The impact of artificial intelligence on human society and bioethics.
PMC7684542,https://europepmc.org/articles/PMC7684542,https://europepmc.org/articles/PMC7684542?pdf=render,Croatian medical journal,Dumić-Čule I,The importance of introducing artificial intelligence to the medical curriculum - assessing practitioners' perspectives.
PMC7674009,https://europepmc.org/articles/PMC7674009,https://europepmc.org/articles/PMC7674009?pdf=render,Intelligence-based medicine,Dorr F,COVID-19 pneumonia accurately detected on chest radiographs with artificial intelligence.
PMC7856518,,,Journal of applied clinical medical physics,,"Book review of artificial intelligence in medicine Edited by Lei Xing, Maryellen Giger, and James Min"
PMC7443141,https://europepmc.org/articles/PMC7443141,https://europepmc.org/articles/PMC7443141?pdf=render,NPJ digital medicine,Li RC,Developing a delivery science for artificial intelligence in healthcare.
PMC7472252,https://europepmc.org/articles/PMC7472252,https://europepmc.org/articles/PMC7472252?pdf=render,"Sensors (Basel, Switzerland)",Nowaková J,Intelligent Controller Design by the Artificial Intelligence Methods.
PMC7724173,,,Translational gastroenterology and hepatology,Radaelli F,Artificial intelligence and the endoscopist's skill and proficiency for polyp detection: no winner one without the other!
PMC7361072,https://europepmc.org/articles/PMC7361072,https://europepmc.org/articles/PMC7361072?pdf=render,EMBO molecular medicine,Schultz MB,Can artificial intelligence identify effective COVID-19 therapies?
PMC7300453,https://europepmc.org/articles/PMC7300453,https://europepmc.org/articles/PMC7300453?pdf=render,Dermatologic therapy,Sadoughifar R,Artificial intelligence in diagnosis and management of COVID-19 in dermatology.
PMC7650184,https://europepmc.org/articles/PMC7650184,https://europepmc.org/articles/PMC7650184?pdf=render,Journal of pharmaceutical policy and practice,Del Rio-Bermudez C,"Towards a symbiotic relationship between big data, artificial intelligence, and hospital pharmacy."
PMC7665018,https://europepmc.org/articles/PMC7665018,https://europepmc.org/articles/PMC7665018?pdf=render,Scientific reports,Meir Y,Power-law scaling to assist with key challenges in artificial intelligence.
PMC7674499,https://europepmc.org/articles/PMC7674499,https://europepmc.org/articles/PMC7674499?pdf=render,Scientific reports,Murata K,Artificial intelligence for the detection of vertebral fractures on plain spinal radiography.
PMC7327360,,,Annals of translational medicine,Lin D,Translating artificial intelligence into clinical practice.
PMC7662076,https://europepmc.org/articles/PMC7662076,https://europepmc.org/articles/PMC7662076?pdf=render,"Process safety and environmental protection : transactions of the Institution of Chemical Engineers, Part B",Al-Qaness MAA,Efficient artificial intelligence forecasting models for COVID-19 outbreak in Russia and Brazil.
PMC7160560,https://europepmc.org/articles/PMC7160560,https://europepmc.org/articles/PMC7160560?pdf=render,Frontiers in chemistry,Cancilla JC,Editorial: Artificial Intelligence in Chemistry.
PMC7372685,https://europepmc.org/articles/PMC7372685,https://europepmc.org/articles/PMC7372685?pdf=render,Pakistan journal of medical sciences,Imran N,Artificial intelligence in medical education: Are we ready for it?
PMC7673961,https://europepmc.org/articles/PMC7673961,https://europepmc.org/articles/PMC7673961?pdf=render,World journal of gastroenterology,Lai Q,Prognostic role of artificial intelligence among patients with hepatocellular cancer: A systematic review.
PMC7667043,https://europepmc.org/articles/PMC7667043,https://europepmc.org/articles/PMC7667043?pdf=render,Frontiers in public health,Bhaskar S,Designing Futuristic Telemedicine Using Artificial Intelligence and Robotics in the COVID-19 Era.
PMC7658240,https://europepmc.org/articles/PMC7658240,https://europepmc.org/articles/PMC7658240?pdf=render,Scientific reports,Damiati SA,Artificial intelligence application for rapid fabrication of size-tunable PLGA microparticles in microfluidics.
PMC7313798,https://europepmc.org/articles/PMC7313798,https://europepmc.org/articles/PMC7313798?pdf=render,Journal of travel medicine,Lin L,Combat COVID-19 with artificial intelligence and big data.
PMC7770297,https://europepmc.org/articles/PMC7770297,https://europepmc.org/articles/PMC7770297?pdf=render,Journal of dental sciences,Khanagar SB,"Developments, application, and performance of artificial intelligence in dentistry - A systematic review."
PMC7415213,https://europepmc.org/articles/PMC7415213,https://europepmc.org/articles/PMC7415213?pdf=render,Joint Commission journal on quality and patient safety,Ross P,Considering the Safety and Quality of Artificial Intelligence in Health Care.
PMC7856495,https://europepmc.org/articles/PMC7856495,https://europepmc.org/articles/PMC7856495?pdf=render,Journal of applied clinical medical physics,Wu MY,Evaluate the performance of four artificial intelligence-aided diagnostic systems in identifying and measuring four types of pulmonary nodules.
PMC7574113,https://europepmc.org/articles/PMC7574113,,Indian journal of ophthalmology,Akkara JD,Commentary: Artificial intelligence for everything: Can we trust it?
PMC7798573,,,Precision clinical medicine,Wang W,Clinical longitudinal evaluation of COVID-19 patients and prediction of organ specific recovery using artificial intelligence
PMC7718163,https://europepmc.org/articles/PMC7718163,https://europepmc.org/articles/PMC7718163?pdf=render,iScience,Wang W,Integration and Co-design of Memristive Devices and Algorithms for Artificial Intelligence.
PMC7415331,https://europepmc.org/articles/PMC7415331,https://europepmc.org/articles/PMC7415331?pdf=render,AI & society,,Out of the laboratory and into the classroom: the future of artificial intelligence in education.
PMC7350824,,,Methodist DeBakey cardiovascular journal,Lim LJ,Artificial Intelligence in Cardiovascular Imaging.
PMC7341461,https://europepmc.org/articles/PMC7341461,https://europepmc.org/articles/PMC7341461?pdf=render,Emergency radiology,Weisberg EM,Developing a curriculum in artificial intelligence for emergency radiology.
PMC7476326,,,IJCAI : proceedings of the conference,Zhang R,Human Gaze Assisted Artificial Intelligence: A Review
PMC7701925,https://europepmc.org/articles/PMC7701925,https://europepmc.org/articles/PMC7701925?pdf=render,Journal of contemporary brachytherapy,Fionda B,Artificial intelligence (AI) and interventional radiotherapy (brachytherapy): state of art and future perspectives.
PMC7711413,,,Journal of thoracic disease,Tandon YK,Putting artificial intelligence (AI) on the spot: machine learning evaluation of pulmonary nodules.
PMC7411708,https://europepmc.org/articles/PMC7411708,https://europepmc.org/articles/PMC7411708?pdf=render,"Molecules (Basel, Switzerland)",Sels H,SUSSOL-Using Artificial Intelligence for Greener Solvent Selection and Substitution.
PMC7424481,https://europepmc.org/articles/PMC7424481,,Journal of medical Internet research,Guo Y,Artificial Intelligence in Health Care: Bibliometric Analysis.
PMC7267049,https://europepmc.org/articles/PMC7267049,https://europepmc.org/articles/PMC7267049?pdf=render,Dermatologic therapy,Jakhar D,Current applications of artificial intelligence for COVID-19.
PMC7647077,https://europepmc.org/articles/PMC7647077,https://europepmc.org/articles/PMC7647077?pdf=render,PloS one,Park H,Global gene network exploration based on explainable artificial intelligence approach.
PMC7668302,https://europepmc.org/articles/PMC7668302,https://europepmc.org/articles/PMC7668302?pdf=render,BMJ health & care informatics,York T,Clinician and computer: a study on patient perceptions of artificial intelligence in skeletal radiography.
PMC7647513,https://europepmc.org/articles/PMC7647513,https://europepmc.org/articles/PMC7647513?pdf=render,Plastic and reconstructive surgery. Global open,Jarvis T,"Artificial Intelligence in Plastic Surgery: Current Applications, Future Directions, and Ethical Implications."
PMC7701911,https://europepmc.org/articles/PMC7701911,https://europepmc.org/articles/PMC7701911?pdf=render,World journal of clinical oncology,Hung M,Artificial intelligence in dentistry: Harnessing big data to predict oral cancer survival.
PMC7723595,,,Annals of translational medicine,Yu G,The role of artificial intelligence in identifying asthma in pediatric inpatient setting.
